id,type,score,display_name,requirement,中文显示
ACACIA_BUTTON,block,1,,,金合欢木按钮
ACACIA_DOOR,block,1,,,金合欢木门
ACACIA_FENCE,block,1,,,金合欢木栅栏
ACACIA_FENCE_GATE,block,1,,,金合欢木栅栏门
ACACIA_HANGING_SIGN,block,1,,,悬挂式金合欢木告示牌
ACACIA_LEAVES,block,1,,,金合欢树叶
ACACIA_LOG,block,1,,,金合欢原木
ACACIA_PLANKS,block,1,,,金合欢木板
ACACIA_PRESSURE_PLATE,block,1,,,金合欢木压力板
ACACIA_SAPLING,block,1,,,金合欢树苗
ACACIA_SIGN,block,1,,,金合欢木告示牌
ACACIA_SLAB,block,1,,,金合欢木台阶
ACACIA_STAIRS,block,1,,,金合欢木楼梯
ACACIA_TRAPDOOR,block,1,,,金合欢木活板门
ACACIA_WOOD,block,1,,,金合欢木
ACTIVATOR_RAIL,block,1,,,激活铁轨
ALLIUM,block,1,,,绒球葱
ANDESITE,block,1,,,安山岩
ANDESITE_SLAB,block,1,,,安山岩台阶
ANDESITE_STAIRS,block,1,,,安山岩楼梯
ANDESITE_WALL,block,1,,,安山岩墙
AZALEA,block,1,,,杜鹃花丛
AZALEA_LEAVES,block,1,,,杜鹃树叶
AZURE_BLUET,block,1,,,蓝花美耳草
BAMBOO_BLOCK,block,1,,,竹块
BAMBOO_BUTTON,block,1,,,竹按钮
BAMBOO_DOOR,block,1,,,竹门
BAMBOO_FENCE,block,1,,,竹栅栏
BAMBOO_FENCE_GATE,block,1,,,竹栅栏门
BAMBOO_HANGING_SIGN,block,1,,,悬挂式竹告示牌
BAMBOO_MOSAIC,block,1,,,竹马赛克
BAMBOO_MOSAIC_SLAB,block,1,,,竹马赛克台阶
BAMBOO_MOSAIC_STAIRS,block,1,,,竹马赛克楼梯
BAMBOO_PLANKS,block,1,,,竹板
BAMBOO_PRESSURE_PLATE,block,1,,,竹压力板
BAMBOO_SIGN,block,1,,,竹告示牌
BAMBOO_SLAB,block,1,,,竹台阶
BAMBOO_STAIRS,block,1,,,竹楼梯
BAMBOO_TRAPDOOR,block,1,,,竹活板门
BARREL,block,1,,,木桶
BASALT,block,1,,,玄武岩
BELL,block,1,,,钟
BIG_DRIPLEAF,block,1,,,大型垂滴叶
BIRCH_BUTTON,block,1,,,白桦木按钮
BIRCH_DOOR,block,1,,,白桦木门
BIRCH_FENCE,block,1,,,白桦木栅栏
BIRCH_FENCE_GATE,block,1,,,白桦木栅栏门
BIRCH_LEAVES,block,1,,,白桦树叶
BIRCH_LOG,block,1,,,白桦原木
BIRCH_PLANKS,block,1,,,白桦木板
BIRCH_PRESSURE_PLATE,block,1,,,白桦木压力板
BIRCH_SAPLING,block,1,,,白桦树苗
BIRCH_SIGN,block,1,,,白桦木告示牌
BIRCH_SLAB,block,1,,,白桦木台阶
BIRCH_STAIRS,block,1,,,白桦木楼梯
BIRCH_TRAPDOOR,block,1,,,白桦木活板门
BIRCH_WOOD,block,1,,,白桦木
BLAST_FURNACE,block,1,,,高炉
BONE_BLOCK,block,1,,,骨块
BREWING_STAND,block,1,,,酿造台
BRICKS,block,1,,,红砖块
BLUE_ORCHID,block,1,,,兰花
CACTUS,block,1,,,仙人掌
CAKE,block,1,,,蛋糕
CALCITE,block,1,,,方解石
CAMPFIRE,block,1,,,营火
CARTOGRAPHY_TABLE,block,1,,,制图台
CARVED_PUMPKIN,block,1,,,雕刻南瓜
CAULDRON,block,1,,,炼药锅
IRON_CHAIN,block,1,,,铁链
CHERRY_PLANKS,block,2,,,樱花木板
CHEST,block,1,,,箱子
COARSE_DIRT,block,1,,,砂土
COBBLED_DEEPSLATE,block,1,,,深板岩圆石
COBBLED_DEEPSLATE_SLAB,block,1,,,深板岩圆石台阶
COBBLED_DEEPSLATE_STAIRS,block,1,,,深板岩圆石楼梯
COBBLED_DEEPSLATE_WALL,block,1,,,深板岩圆石墙
COBBLESTONE,block,1,,,圆石
COBBLESTONE_SLAB,block,1,,,圆石台阶
COBBLESTONE_STAIRS,block,1,,,圆石楼梯
COBBLESTONE_WALL,block,1,,,圆石墙
COBWEB,block,1,,,蜘蛛网
COCOA_BEANS,block,1,,,可可豆
COMPOSTER,block,1,,,堆肥桶
CORNFLOWER,block,1,,,矢车菊
CRAFTING_TABLE,block,1,,,工作台
CRIMSON_HANGING_SIGN,block,1,,,悬挂式绯红木告示牌
DANDELION,block,1,,,蒲公英
DARK_OAK_BUTTON,block,1,,,深色橡木按钮
DARK_OAK_DOOR,block,1,,,深色橡木门
DARK_OAK_FENCE,block,1,,,深色橡木栅栏
DARK_OAK_FENCE_GATE,block,1,,,深色橡木栅栏门
DARK_OAK_HANGING_SIGN,block,1,,,悬挂式深色橡木告示牌
DARK_OAK_LEAVES,block,1,,,深色橡树树叶
DARK_OAK_LOG,block,1,,,深色橡木原木
DARK_OAK_PLANKS,block,1,,,深色橡木木板
DARK_OAK_PRESSURE_PLATE,block,1,,,深色橡木压力板
DARK_OAK_SAPLING,block,1,,,深色橡树树苗
DARK_OAK_SIGN,block,1,,,深色橡木告示牌
DARK_OAK_SLAB,block,1,,,深色橡木台阶
DARK_OAK_STAIRS,block,1,,,深色橡木楼梯
DARK_OAK_TRAPDOOR,block,1,,,深色橡木活板门
DARK_OAK_WOOD,block,1,,,深色橡木
DEAD_BUSH,block,1,,,枯萎的灌木
DEEPSLATE,block,1,,,深板岩
DEEPSLATE_BRICKS,block,1,,,深板岩砖
DEEPSLATE_BRICK_SLAB,block,1,,,深板岩砖台阶
DEEPSLATE_BRICK_STAIRS,block,1,,,深板岩砖楼梯
DEEPSLATE_BRICK_WALL,block,1,,,深板岩砖墙
DETECTOR_RAIL,block,1,,,探测铁轨
DIORITE,block,1,,,闪长岩
DIORITE_SLAB,block,1,,,闪长岩台阶
DIORITE_STAIRS,block,1,,,闪长岩楼梯
DIORITE_WALL,block,1,,,闪长岩墙
DIRT,block,1,,,泥土
DISPENSER,block,1,,,发射器
DRIED_KELP_BLOCK,block,1,,,干海带块
DROPPER,block,1,,,投掷器
FLETCHING_TABLE,block,1,,,制箭台
FLOWER_POT,block,1,,,花盆
FURNACE,block,1,,,熔炉
GLASS,block,1,,,玻璃
GLASS_PANE,block,1,,,玻璃板
GRANITE,block,1,,,花岗岩
GRANITE_SLAB,block,1,,,花岗岩台阶
GRANITE_STAIRS,block,1,,,花岗岩楼梯
GRANITE_WALL,block,1,,,花岗岩墙
GRAVEL,block,1,,,沙砾
GRINDSTONE,block,1,,,砂轮
HEAVY_WEIGHTED_PRESSURE_PLATE,block,1,,,重质测重压力板
HOPPER,block,1,,,漏斗
IRON_BARS,block,1,,,铁栏杆
IRON_DOOR,block,1,,,铁门
IRON_TRAPDOOR,block,1,,,铁活板门
JUKEBOX,block,1,,,唱片机
JUNGLE_BUTTON,block,1,,,丛林木按钮
JUNGLE_DOOR,block,1,,,丛林木门
JUNGLE_FENCE,block,1,,,丛林木栅栏
JUNGLE_FENCE_GATE,block,1,,,丛林木栅栏门
JUNGLE_HANGING_SIGN,block,1,,,悬挂式丛林木告示牌
JUNGLE_LEAVES,block,1,,,丛林树叶
JUNGLE_LOG,block,1,,,丛林原木
JUNGLE_PLANKS,block,1,,,丛林木板
JUNGLE_PRESSURE_PLATE,block,1,,,丛林木压力板
JUNGLE_SAPLING,block,1,,,丛林树苗
JUNGLE_SIGN,block,1,,,丛林木告示牌
JUNGLE_SLAB,block,1,,,丛林木台阶
JUNGLE_STAIRS,block,1,,,丛林木楼梯
JUNGLE_TRAPDOOR,block,1,,,丛林木活板门
JUNGLE_WOOD,block,1,,,丛林木
LADDER,block,1,,,梯子
LANTERN,block,1,,,灯笼
LECTERN,block,1,,,讲台
LEVER,block,1,,,拉杆
LIGHTNING_ROD,block,1,,,避雷针
LIGHT_WEIGHTED_PRESSURE_PLATE,block,1,,,轻质测重压力板
LILAC,block,1,,,丁香
LILY_OF_THE_VALLEY,block,1,,,铃兰
LILY_PAD,block,1,,,睡莲
LOOM,block,1,,,织布机
MANGROVE_HANGING_SIGN,block,1,,,悬挂式红树木告示牌
MELON,block,1,,,西瓜
MUD,block,1,,,泥巴
NETHERRACK,block,1,,,下界岩
NOTE_BLOCK,block,1,,,音符盒
OAK_BUTTON,block,1,,,橡木按钮
OAK_DOOR,block,1,,,橡木门
OAK_FENCE,block,1,,,橡木栅栏
OAK_FENCE_GATE,block,1,,,橡木栅栏门
OAK_HANGING_SIGN,block,1,,,悬挂式橡木告示牌
OAK_LEAVES,block,1,,,橡树树叶
OAK_LOG,block,1,,,橡木原木
OAK_PLANKS,block,1,,,橡木木板
OAK_PRESSURE_PLATE,block,1,,,橡木压力板
OAK_SAPLING,block,1,,,橡树树苗
OAK_SIGN,block,1,,,橡木告示牌
OAK_SLAB,block,1,,,橡木台阶
OAK_STAIRS,block,1,,,橡木楼梯
OAK_TRAPDOOR,block,1,,,橡木活板门
OAK_WOOD,block,1,,,橡木
OBSIDIAN,block,1,,,黑曜石
OXEYE_DAISY,block,1,,,滨菊
PACKED_MUD,block,1,,,泥坯
PEONY,block,1,,,牡丹
PINK_PETALS,block,1,,,粉红色花簇
PISTON,block,1,,,活塞
POINTED_DRIPSTONE,block,1,,,滴水石锥
POLISHED_ANDESITE,block,1,,,磨制安山岩
POLISHED_DIORITE,block,1,,,磨制闪长岩
POLISHED_GRANITE,block,1,,,磨制花岗岩
POPPY,block,1,,,虞美人
POWERED_RAIL,block,1,,,动力铁轨
PUMPKIN,block,1,,,南瓜
RAIL,block,1,,,铁轨
REDSTONE_LAMP,block,1,,,红石灯
REDSTONE_TORCH,block,1,,,红石火把
RED_MUSHROOM,block,1,,,红色蘑菇
BROWN_MUSHROOM,block,1,,,棕色蘑菇
RED_SAND,block,1,,,红沙
RED_SANDSTONE,block,1,,,红砂岩
RED_TULIP,block,1,,,红色郁金香
ORANGE_TULIP,block,1,,,橙色郁金香
WHITE_TULIP,block,1,,,白色郁金香
ROSE_BUSH,block,1,,,玫瑰丛
SAND,block,1,,,沙子
SANDSTONE,block,1,,,砂岩
SCAFFOLDING,block,1,,,脚手架
SEA_PICKLE,block,1,,,海泡菜
SHROOMLIGHT,block,1,,,菌光体
SMITHING_TABLE,block,1,,,锻造台
SMOKER,block,1,,,烟熏炉
SMOOTH_STONE,block,1,,,平滑石头
SNOW_BLOCK,block,1,,,雪块
SPORE_BLOSSOM,block,1,,,孢子花
SPRUCE_BUTTON,block,1,,,云杉木按钮
SPRUCE_DOOR,block,1,,,云杉木门
SPRUCE_FENCE,block,1,,,云杉木栅栏
SPRUCE_FENCE_GATE,block,1,,,云杉木栅栏门
SPRUCE_HANGING_SIGN,block,1,,,悬挂式云杉木告示牌
SPRUCE_LEAVES,block,1,,,云杉树叶
SPRUCE_LOG,block,1,,,云杉原木
SPRUCE_PLANKS,block,1,,,云杉木板
SPRUCE_PRESSURE_PLATE,block,1,,,云杉木压力板
SPRUCE_SAPLING,block,1,,,云杉树苗
SPRUCE_SIGN,block,1,,,云杉木告示牌
SPRUCE_SLAB,block,1,,,云杉木台阶
SPRUCE_STAIRS,block,1,,,云杉木楼梯
SPRUCE_TRAPDOOR,block,1,,,云杉木活板门
SPRUCE_WOOD,block,1,,,云杉木
STICKY_PISTON,block,1,,,黏性活塞
STONE,block,1,,,石头
STONECUTTER,block,1,,,切石机
STONE_BRICKS,block,1,,,石砖
STONE_BUTTON,block,1,,,石头按钮
STONE_PRESSURE_PLATE,block,1,,,石头压力板
STONE_SLAB,block,1,,,石头台阶
STONE_STAIRS,block,1,,,石头楼梯
STRIPPED_ACACIA_WOOD,block,1,,,去皮金合欢木
STRIPPED_BAMBOO_BLOCK,block,1,,,去皮竹块
STRIPPED_BIRCH_LOG,block,1,,,去皮白桦原木
STRIPPED_BIRCH_WOOD,block,1,,,去皮白桦木
STRIPPED_CRIMSON_HYPHAE,block,1,,,去皮绯红菌核
STRIPPED_CRIMSON_STEM,block,1,,,去皮绯红菌柄
STRIPPED_DARK_OAK_LOG,block,1,,,去皮深色橡木原木
STRIPPED_DARK_OAK_WOOD,block,1,,,去皮深色橡木
STRIPPED_JUNGLE_LOG,block,1,,,去皮丛林原木
STRIPPED_JUNGLE_WOOD,block,1,,,去皮丛林木
STRIPPED_MANGROVE_LOG,block,1,,,去皮红树原木
STRIPPED_MANGROVE_WOOD,block,1,,,去皮红树木
STRIPPED_OAK_LOG,block,1,,,去皮橡木原木
STRIPPED_OAK_WOOD,block,1,,,去皮橡木
STRIPPED_SPRUCE_LOG,block,1,,,去皮云杉原木
STRIPPED_SPRUCE_WOOD,block,1,,,去皮云杉木
STRIPPED_WARPED_HYPHAE,block,1,,,去皮诡异菌核
STRIPPED_WARPED_STEM,block,1,,,去皮诡异菌柄
SUNFLOWER,block,1,,,向日葵
TERRACOTTA,block,1,,,陶瓦
TNT,block,1,,,TNT
TORCH,block,1,,,火把
TRAPPED_CHEST,block,1,,,陷阱箱
TRIPWIRE_HOOK,block,1,,,绊线钩
TUFF,block,1,,,凝灰岩
WARPED_HANGING_SIGN,block,1,,,悬挂式诡异木告示牌
COPPER_BLOCK,block,1,,,铜块
CUT_COPPER,block,1,,,切制铜块
CUT_COPPER_SLAB,block,1,,,切制铜台阶
CUT_COPPER_STAIRS,block,1,,,切制铜楼梯
CHISELED_COPPER,block,1,,,雕纹铜块
COPPER_BULB,block,1,,,铜灯
COPPER_DOOR,block,1,,,铜门
COPPER_GRATE,block,1,,,铜格栅
COPPER_TRAPDOOR,block,1,,,铜活板门
LODESTONE,block,1,,,磁石
WILDFLOWERS,block,1,,,野花簇
LEAF_LITTER,block,1,,,枯叶堆
BUSH,block,1,,,灌木丛
FIREFLY_BUSH,block,1,,,萤火虫灌木丛
COPPER_CHEST,block,1,,,铜箱子
COPPER_BARS,block,1,,,铜栏杆
COPPER_CHAIN,block,1,,,铜链
COPPER_LANTERN,block,1,,,铜灯笼
COPPER_TORCH,block,1,,,铜火把
COPPER_GOLEM_STATUE,block,1,,,铜傀儡像
OAK_SHELF,block,1,,,橡木展示架
SPRUCE_SHELF,block,1,,,云杉木展示架
BIRCH_SHELF,block,1,,,白桦木展示架
JUNGLE_SHELF,block,1,,,丛林木展示架
ACACIA_SHELF,block,1,,,金合欢木展示架
DARK_OAK_SHELF,block,1,,,深色橡木展示架
CHERRY_SHELF,block,1,,,樱花木展示架
BAMBOO_SHELF,block,1,,,竹展示架
POLISHED_DEEPSLATE,block,1,,,磨制深板岩
POLISHED_DEEPSLATE_SLAB,block,1,,,磨制深板岩台阶
POLISHED_DEEPSLATE_STAIRS,block,1,,,磨制深板岩楼梯
POLISHED_DEEPSLATE_WALL,block,1,,,磨制深板岩墙
CRACKED_DEEPSLATE_BRICKS,block,1,,,裂纹深板岩砖
CRACKED_DEEPSLATE_TILES,block,1,,,裂纹深板岩瓦
CRACKED_NETHER_BRICKS,block,1,,,裂纹下界砖块
CRACKED_STONE_BRICKS,block,1,,,裂纹石砖
DEEPSLATE_TILE_SLAB,block,1,,,深板岩瓦台阶
DEEPSLATE_TILE_STAIRS,block,1,,,深板岩瓦楼梯
DEEPSLATE_TILE_WALL,block,1,,,深板岩瓦墙
DEEPSLATE_TILES,block,1,,,深板岩瓦
CHISELED_DEEPSLATE,block,1,,,雕纹深板岩
CHISELED_SANDSTONE,block,1,,,雕纹砂岩
KELP,block,1,,,海带
GLOW_LICHEN,block,1,,,发光地衣
GLOW_INK_SAC,block,1,,,荧光墨囊
TARGET,block,1,,,标靶
HAY_BLOCK,block,1,,,干草捆
RAW_COPPER_BLOCK,block,1,,,粗铜块
RAW_GOLD_BLOCK,block,1,,,粗金块
GOLD_BLOCK,block,1,,,金块
RAW_IRON_BLOCK,block,1,,,粗铁块
IRON_BLOCK,block,1,,,铁块
AMETHYST_BLOCK,block,1,,,紫水晶块
EMERALD_BLOCK,block,1,,,绿宝石块
LAPIS_BLOCK,block,1,,,青金石块
REDSTONE_BLOCK,block,1,,,红石块
